# Here you find the simulation outputdata
# Look into hetero_Particles.dat for general simulation data and aggregate data
#
#######################################################
# Experiment:							hetero
# Date:									2025-04-04 11:41

#######################################################
# Conditions acc to:					Pe
# Peclet Number:						0.0000e+00
# z-Velocity (m/s):						0.0000e+00
# Box_size (rel. to r_mean):			280
# Hight above max(z) (rel. to r_mean):	60
# Timestep adjustment:					1.00
# Temperature (K):						1488.10
#######################################################
# Particle Size Distribution:			lognorm
# Particle Mean Radius (nm):			4.48
# Particle sDerivation:					0.37
# Calculation Friction acc to:			Chen & Dahneke
#######################################################
# Primary particles:					200000
# Aggregates:							6452
# Particle Number Distribution:			none
# Particles per Aggregate:				31
#
# Fractal Dimension / Prefactor:		2.05	1.30
# Epsilon,Delta,Deformation:			1.001	1.010	1.000
# One Material is used
# Density (kg/m^3):						4.23e+03
#
#######################################################
# Agg	Np	Diff_p(m^2/s)	frict	m_p(kg)	t_s(s)	r_g	rho(kg/m^3)
135	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.079263e-08	4.230e+03
136	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.094058e-08	4.230e+03
137	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.091030e-08	4.230e+03
138	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.085588e-08	4.230e+03
139	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.093924e-08	4.230e+03
140	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.095267e-08	4.230e+03
141	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.069718e-08	4.230e+03
142	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.083856e-08	4.230e+03
143	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.098785e-08	4.230e+03
144	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.084709e-08	4.230e+03
145	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.074136e-08	4.230e+03
146	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.074138e-08	4.230e+03
147	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.077911e-08	4.230e+03
148	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.070021e-08	4.230e+03
149	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.049963e-08	4.230e+03
150	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.087770e-08	4.230e+03
151	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.084636e-08	4.230e+03
152	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.070808e-08	4.230e+03
153	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.095041e-08	4.230e+03
154	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.065269e-08	4.230e+03
155	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.066409e-08	4.230e+03
156	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.090221e-08	4.230e+03
157	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.099922e-08	4.230e+03
158	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.087904e-08	4.230e+03
159	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.094587e-08	4.230e+03
160	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.068865e-08	4.230e+03
161	31	6.938795e-09	2.960943e-12	4.935531e-20	1.445600e-09	2.092961e-08	4.230e+03
